item,price,high_alch,low_alch
3rd age amulet,123281634.0,30300.0,20200.0
3rd age axe,2147483646.0,33000.0,22000.0
3rd age bow,2147446801.0,90000.0,60000.0
3rd age cloak,832970261.0,51000.0,34000.0
3rd age druidic cloak,1835222146.0,120000.0,80000.0
3rd age druidic robe bottoms,2147483563.0,120000.0,80000.0
3rd age druidic robe top,2147483646.0,120000.0,80000.0
3rd age druidic staff,1392074091.0,120000.0,80000.0
3rd age felling axe,2147438023.0,33000.0,22000.0
3rd age full helmet,82763498.0,54000.0,36000.0
3rd age kiteshield,201606810.0,108000.0,72000.0
3rd age longsword,2147421460.0,90000.0,60000.0
3rd age mage hat,38617742.0,30240.0,20160.0
3rd age pickaxe,2147483647.0,58770.0,39180.0
3rd age platebody,360618001.0,120000.0,80000.0
3rd age platelegs,191191924.0,120000.0,80000.0
3rd age plateskirt,101680710.0,120000.0,80000.0
3rd age range coif,32096054.0,30240.0,20160.0
3rd age range legs,44001879.0,30360.0,20240.0
3rd age range top,67115160.0,30480.0,20320.0
3rd age robe,70179270.0,30360.0,20240.0
3rd age robe top,280312448.0,30480.0,20320.0
3rd age vambraces,33506445.0,30300.0,20200.0
3rd age wand,1008479125.0,90000.0,60000.0
A powdered wig,11897.0,1200.0,800.0
Abyssal ashes,2624.0,1.0,1.0
Abyssal bludgeon,30537798.0,156000.0,104000.0
Abyssal bracelet(5),2292.0,2520.0,1680.0
Abyssal dagger,2477872.0,69000.0,46000.0
Abyssal dagger (p),2570655.0,69001.0,46000.0
Abyssal dagger (p+),2618117.0,69001.0,46001.0
Abyssal dagger (p++),2505167.0,69002.0,46001.0
Abyssal whip,1647363.0,72000.0,48000.0
Accursed sceptre (au),3021203.0,1.0,1.0
Accursed sceptre (u),2981798.0,1.0,1.0
Achey tree logs,265.0,2.0,1.0
Acorn,152.0,3.0,2.0
Adamant 2h sword,3488.0,3840.0,2560.0
Adamant arrow,18.0,48.0,32.0
Adamant arrow(p),149.0,48.0,32.0
Adamant arrow(p+),396.0,48.0,32.0
Adamant arrow(p++),18.0,48.0,32.0
Adamant arrowtips,117.0,24.0,16.0
Adamant axe,452.0,768.0,512.0
Adamant battleaxe,2351.0,2496.0,1664.0
Adamant bolts,29.0,34.0,23.0
Adamant bolts (p),210.0,34.0,23.0
Adamant bolts (p+),453.0,34.0,23.0
Adamant bolts (p++),878.0,34.0,23.0
Adamant bolts(unf),136.0,1.0,1.0
Adamant boots,1064.0,1152.0,768.0
Adamant brutal,304.0,57.0,38.0
Adamant cane,4992.0,864.0,576.0
Adamant chainbody,2559.0,2880.0,1920.0
Adamant claws,1502.0,720.0,480.0
Adamant crossbow,1941.0,1060.0,706.0
Adamant crossbow (u),1532.0,1039.0,693.0
Adamant dagger,288.0,480.0,320.0
Adamant dagger(p),397.0,480.0,320.0
Adamant dagger(p+),1896.0,480.0,320.0
Adamant dagger(p++),3455.0,480.0,320.0
Adamant dart,20.0,39.0,26.0
Adamant dart tip,191.0,21.0,14.0
Adamant dart(p),21.0,39.0,26.0
Adamant dart(p+),286.0,39.0,26.0
Adamant dart(p++),966.0,39.0,26.0
Adamant dragon mask,12051.0,6000.0,4000.0
Adamant felling axe,93589.0,768.0,512.0
Adamant full helm,1814.0,2112.0,1408.0
Adamant full helm (g),8874.0,2112.0,1408.0
Adamant full helm (t),3815.0,2112.0,1408.0
Adamant gold-trimmed set (lg),64333.0,4800.0,3200.0
Adamant gold-trimmed set (sk),57610.0,4800.0,3200.0
Adamant halberd,14744.0,3840.0,2560.0
Adamant hasta,947.0,1248.0,832.0
Adamant hasta(p),5048.0,1248.0,832.0
Adamant hasta(p+),6691.0,1248.0,832.0
Adamant hasta(p++),7119.0,1248.0,832.0
Adamant helm (h1),4214.0,2112.0,1408.0
Adamant helm (h2),2452.0,2112.0,1408.0
Adamant helm (h3),6202.0,2112.0,1408.0
Adamant helm (h4),2321.0,2112.0,1408.0
Adamant helm (h5),2323.0,2112.0,1408.0
Adamant javelin,58.0,96.0,64.0
Adamant javelin heads,338.0,264.0,176.0
Adamant javelin(p),203.0,96.0,64.0
Adamant javelin(p+),202.0,96.0,64.0
Adamant javelin(p++),395.0,96.0,64.0
Adamant kiteshield,2909.0,3264.0,2176.0
Adamant kiteshield (g),12708.0,3264.0,2176.0
Adamant kiteshield (t),4105.0,3264.0,2176.0
Adamant knife,336.0,39.0,26.0
Adamant knife(p),742.0,39.0,26.0
Adamant knife(p+),779.0,39.0,26.0
Adamant knife(p++),1555.0,39.0,26.0
Adamant longsword,1599.0,1920.0,1280.0
Adamant mace,683.0,864.0,576.0
Adamant med helm,840.0,1152.0,768.0
Adamant pickaxe,1568.0,1920.0,1280.0
Adamant platebody,9512.0,9984.0,6656.0
Adamant platebody (g),20178.0,9984.0,6656.0
Adamant platebody (h1),9354.0,9984.0,6656.0
Adamant platebody (h2),9124.0,9984.0,6656.0
